# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: ff
# Temperature: -40C
# W = 2.0 um
# L = 0.5 um (500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.076853e+00    4.307503e+00    4.633959e+01    4.844492e+09    3.161767e-09    9.951015e-11    3.044792e-09    2.582739e-10   -1.800000e+00    1.043946e+00    6.667001e-01
    2.123565e+00    4.591930e+00    4.537719e+01    4.859107e+09    3.156217e-09    9.276775e-11    3.044096e-09    2.572526e-10   -1.790000e+00    1.043946e+00    6.583318e-01
    2.171470e+00    4.903706e+00    4.441250e+01    4.871363e+09    3.150857e-09    8.640820e-11    3.043230e-09    2.562707e-10   -1.780000e+00    1.043946e+00    6.499660e-01
    2.220445e+00    5.245297e+00    4.344789e+01    4.881066e+09    3.145677e-09    8.041585e-11    3.042201e-09    2.553271e-10   -1.770000e+00    1.043946e+00    6.416025e-01
    2.270484e+00    5.619178e+00    4.248319e+01    4.888025e+09    3.140670e-09    7.477470e-11    3.041015e-09    2.544205e-10   -1.760000e+00    1.043946e+00    6.332413e-01
    2.321545e+00    6.027747e+00    4.151892e+01    4.892055e+09    3.135826e-09    6.946865e-11    3.039677e-09    2.535494e-10   -1.750000e+00    1.043946e+00    6.248822e-01
    2.373586e+00    6.473244e+00    4.055562e+01    4.892989e+09    3.131135e-09    6.448155e-11    3.038194e-09    2.527126e-10   -1.740000e+00    1.043946e+00    6.165250e-01
    2.426565e+00    6.957637e+00    3.959387e+01    4.890680e+09    3.126589e-09    5.979745e-11    3.036570e-09    2.519084e-10   -1.730000e+00    1.043946e+00    6.081698e-01
    2.480445e+00    7.482528e+00    3.863429e+01    4.885005e+09    3.122177e-09    5.540060e-11    3.034810e-09    2.511355e-10   -1.720000e+00    1.043946e+00    5.998163e-01
    2.535196e+00    8.049060e+00    3.767748e+01    4.875877e+09    3.117890e-09    5.127560e-11    3.032918e-09    2.503923e-10   -1.710000e+00    1.043946e+00    5.914645e-01
    2.590801e+00    8.657824e+00    3.672410e+01    4.863246e+09    3.113718e-09    4.740744e-11    3.030900e-09    2.496773e-10   -1.700000e+00    1.043946e+00    5.831142e-01
    2.647256e+00    9.308843e+00    3.577480e+01    4.847096e+09    3.109651e-09    4.378161e-11    3.028758e-09    2.489891e-10   -1.690000e+00    1.043946e+00    5.747653e-01
    2.704574e+00    1.000153e+01    3.483022e+01    4.827458e+09    3.105680e-09    4.038409e-11    3.026495e-09    2.483262e-10   -1.680000e+00    1.043946e+00    5.664178e-01
    2.762786e+00    1.073477e+01    3.389099e+01    4.804391e+09    3.101796e-09    3.720141e-11    3.024114e-09    2.476869e-10   -1.670000e+00    1.043946e+00    5.580715e-01
    2.821937e+00    1.150692e+01    3.295775e+01    4.777990e+09    3.097988e-09    3.422070e-11    3.021618e-09    2.470700e-10   -1.660000e+00    1.043946e+00    5.497263e-01
    2.882093e+00    1.231599e+01    3.203110e+01    4.748371e+09    3.094249e-09    3.142966e-11    3.019007e-09    2.464740e-10   -1.650000e+00    1.043946e+00    5.413821e-01
    2.943337e+00    1.315973e+01    3.111161e+01    4.715679e+09    3.090568e-09    2.881660e-11    3.016283e-09    2.458974e-10   -1.640000e+00    1.043946e+00    5.330387e-01
    3.005763e+00    1.403579e+01    3.019984e+01    4.680063e+09    3.086937e-09    2.637040e-11    3.013446e-09    2.453390e-10   -1.630000e+00    1.043946e+00    5.246962e-01
    3.069481e+00    1.494184e+01    2.929631e+01    4.641685e+09    3.083346e-09    2.408057e-11    3.010497e-09    2.447972e-10   -1.620000e+00    1.043946e+00    5.163543e-01
    3.134609e+00    1.587566e+01    2.840151e+01    4.600703e+09    3.079787e-09    2.193718e-11    3.007436e-09    2.442708e-10   -1.610000e+00    1.043946e+00    5.080130e-01
    3.201278e+00    1.683531e+01    2.751590e+01    4.557281e+09    3.076249e-09    1.993086e-11    3.004260e-09    2.437585e-10   -1.600000e+00    1.043946e+00    4.996722e-01
    3.269628e+00    1.781912e+01    2.663993e+01    4.511571e+09    3.072725e-09    1.805281e-11    3.000968e-09    2.432589e-10   -1.590000e+00    1.043946e+00    4.913318e-01
    3.339804e+00    1.882576e+01    2.577398e+01    4.463718e+09    3.069205e-09    1.629473e-11    2.997557e-09    2.427708e-10   -1.580000e+00    1.043946e+00    4.829917e-01
    3.411965e+00    1.985431e+01    2.491845e+01    4.413862e+09    3.065680e-09    1.464888e-11    2.994026e-09    2.422930e-10   -1.570000e+00    1.043946e+00    4.746517e-01
    3.486269e+00    2.090415e+01    2.407368e+01    4.362127e+09    3.062140e-09    1.310793e-11    2.990368e-09    2.418242e-10   -1.560000e+00    1.043946e+00    4.663118e-01
    3.562889e+00    2.197506e+01    2.324001e+01    4.308631e+09    3.058576e-09    1.166508e-11    2.986581e-09    2.413630e-10   -1.550000e+00    1.043946e+00    4.579720e-01
    3.642003e+00    2.306712e+01    2.241775e+01    4.253479e+09    3.054978e-09    1.031395e-11    2.982659e-09    2.409085e-10   -1.540000e+00    1.043946e+00    4.496320e-01
    3.723800e+00    2.418071e+01    2.160719e+01    4.196766e+09    3.051336e-09    9.048575e-12    2.978597e-09    2.404591e-10   -1.530000e+00    1.043946e+00    4.412920e-01
    3.808482e+00    2.531649e+01    2.080862e+01    4.138585e+09    3.047638e-09    7.863380e-12    2.974385e-09    2.400137e-10   -1.520000e+00    1.043946e+00    4.329516e-01
    3.896254e+00    2.647532e+01    2.002229e+01    4.079006e+09    3.043876e-09    6.753165e-12    2.970019e-09    2.395712e-10   -1.510000e+00    1.043946e+00    4.246110e-01
    3.987348e+00    2.765832e+01    1.924846e+01    4.018108e+09    3.040035e-09    5.713090e-12    2.965488e-09    2.391299e-10   -1.500000e+00    1.043946e+00    4.162700e-01
    4.081999e+00    2.886676e+01    1.848737e+01    3.955953e+09    3.036106e-09    4.738641e-12    2.960782e-09    2.386888e-10   -1.490000e+00    1.043946e+00    4.079286e-01
    4.180463e+00    3.010207e+01    1.773923e+01    3.892597e+09    3.032075e-09    3.825608e-12    2.955890e-09    2.382464e-10   -1.480000e+00    1.043946e+00    3.995867e-01
    4.283018e+00    3.136582e+01    1.700427e+01    3.828095e+09    3.027927e-09    2.970080e-12    2.950800e-09    2.378013e-10   -1.470000e+00    1.043946e+00    3.912443e-01
    4.389955e+00    3.265972e+01    1.628270e+01    3.762491e+09    3.023649e-09    2.168415e-12    2.945499e-09    2.373520e-10   -1.460000e+00    1.043946e+00    3.829013e-01
    4.501600e+00    3.398561e+01    1.557473e+01    3.695829e+09    3.019226e-09    1.417230e-12    2.939970e-09    2.368970e-10   -1.450000e+00    1.043946e+00    3.745579e-01
    4.618295e+00    3.534543e+01    1.488055e+01    3.628149e+09    3.014641e-09    7.133805e-13    2.934199e-09    2.364346e-10   -1.440000e+00    1.043946e+00    3.662139e-01
    4.740418e+00    3.674121e+01    1.420034e+01    3.559482e+09    3.009877e-09    5.394650e-14    2.928166e-09    2.359631e-10   -1.430000e+00    1.043946e+00    3.578694e-01
